"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","2","Locations","9","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","2","Things to do in Norfolk","23","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/binham/","2","Binham","6","Village","7","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/high-barn/","2","High Barn","9","Village","7","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill-cottage/","2","Old Mill Cottage","16","Village","7","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill-and-cottage/","2","Old Mill and Cottage","20","Village","7","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violets-cottage/","2","Violet’s Cottage","16","Village","7","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill/","2","Old Mill","8","Village","7","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/samphire-barn/","2","Samphire Barn","13","Village","7","Indexable",""
